weight/imperial,weight/metric,height/imperial,height/metric,id,name,bred_for,breed_group,life_span,temperament,origin,reference_image_id,image/id,image/width,image/height,image/url,country_code,description,history
6 - 13,3 - 6,9 - 11.5,23 - 29,1,Affenpinscher,"Small rodent hunting, lapdog",Toy,10 - 12 years,"Stubborn, Curious, Playful, Adventurous, Active, Fun-loving","Germany, France",BJa4kxc4X,BJa4kxc4X,1600,1199,https://cdn2.thedogapi.com/images/BJa4kxc4X.jpg,,,
50 - 60,23 - 27,25 - 27,64 - 69,2,Afghan Hound,Coursing and hunting,Hound,10 - 13 years,"Aloof, Clownish, Dignified, Independent, Happy","Afghanistan, Iran, Pakistan",hMyT4CDXR,hMyT4CDXR,606,380,https://cdn2.thedogapi.com/images/hMyT4CDXR.jpg,AG,,
44 - 66,20 - 30,30,76,3,African Hunting Dog,A wild pack animal,,11 years,"Wild, Hardworking, Dutiful",,rkiByec47,rkiByec47,500,335,https://cdn2.thedogapi.com/images/rkiByec47.jpg,,,
40 - 65,18 - 29,21 - 23,53 - 58,4,Airedale Terrier,"Badger, otter hunting",Terrier,10 - 13 years,"Outgoing, Friendly, Alert, Confident, Intelligent, Courageous","United Kingdom, England",1-7cgoZSh,1-7cgoZSh,645,430,https://cdn2.thedogapi.com/images/1-7cgoZSh.jpg,,,
90 - 120,41 - 54,28 - 34,71 - 86,5,Akbash Dog,Sheep guarding,Working,10 - 12 years,"Loyal, Independent, Intelligent, Brave",,26pHT3Qk7,26pHT3Qk7,600,471,https://cdn2.thedogapi.com/images/26pHT3Qk7.jpg,,,
65 - 115,29 - 52,24 - 28,61 - 71,6,Akita,Hunting bears,Working,10 - 14 years,"Docile, Alert, Responsive, Dignified, Composed, Friendly, Receptive, Faithful, Courageous",,BFRYBufpm,BFRYBufpm,1280,853,https://cdn2.thedogapi.com/images/BFRYBufpm.jpg,,,
55 - 90,25 - 41,18 - 24,46 - 61,7,Alapaha Blue Blood Bulldog,Guarding,Mixed,12 - 13 years,"Loving, Protective, Trainable, Dutiful, Responsible",,33mJ-V3RX,33mJ-V3RX,1828,2065,https://cdn2.thedogapi.com/images/33mJ-V3RX.jpg,,"The Alapaha Blue Blood Bulldog is a well-developed, exaggerated bulldog with a broad head and natural drop ears. The prominent muzzle is covered by loose upper lips. The prominent eyes are set well apart. The Alapaha's coat is relatively short and fairly stiff. Preferred colors are blue merle, brown merle, or red merle all trimmed in white or chocolate and white. Also preferred are the glass eyes (blue) or marble eyes (brown and blue mixed in a single eye). The ears and tail are never trimmed or docked. The body is sturdy and very muscular. The well-muscled hips are narrower than the chest. The straight back is as long as the dog is high at the shoulders. The dewclaws are never removed and the feet are cat-like.",
38 - 50,17 - 23,23 - 26,58 - 66,8,Alaskan Husky,Sled pulling,Mixed,10 - 13 years,"Friendly, Energetic, Loyal, Gentle, Confident",,-HgpNnGXl,-HgpNnGXl,500,500,https://cdn2.thedogapi.com/images/-HgpNnGXl.jpg,,,
65 - 100,29 - 45,23 - 25,58 - 64,9,Alaskan Malamute,"Hauling heavy freight, Sled pulling",Working,12 - 15 years,"Friendly, Affectionate, Devoted, Loyal, Dignified, Playful",,dW5UucTIW,dW5UucTIW,1023,769,https://cdn2.thedogapi.com/images/dW5UucTIW.jpg,,,
60 - 120,27 - 54,22 - 27,56 - 69,10,American Bulldog,,Working,10 - 12 years,"Friendly, Assertive, Energetic, Loyal, Gentle, Confident, Dominant",,pk1AAdloG,pk1AAdloG,1669,1377,https://cdn2.thedogapi.com/images/pk1AAdloG.jpg,,,
30 - 150,14 - 68,14 - 17,36 - 43,11,American Bully,Family companion dog,,8 – 15 years,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",,sqQJDtbpY,sqQJDtbpY,1024,683,https://cdn2.thedogapi.com/images/sqQJDtbpY.jpg,US,,
20 - 40,9 - 18,15 - 19,38 - 48,12,American Eskimo Dog,Circus performer,Non-Sporting,12 - 15 years,"Friendly, Alert, Reserved, Intelligent, Protective",,Bymjyec4m,Bymjyec4m,1000,802,https://cdn2.thedogapi.com/images/Bymjyec4m.jpg,US,,
7 - 10,3 - 5,9 - 12,23 - 30,13,American Eskimo Dog (Miniature),Companionship,,13 – 15 years,"Friendly, Alert, Reserved, Intelligent, Protective",,_gn8GLrE6,_gn8GLrE6,730,487,https://cdn2.thedogapi.com/images/_gn8GLrE6.jpg,US,,
65 - 75,29 - 34,21 - 28,53 - 71,14,American Foxhound,"Fox hunting, scent hound",Hound,8 - 15 years,"Kind, Sweet-Tempered, Loyal, Independent, Intelligent, Loving",,S14n1x9NQ,S14n1x9NQ,3000,2400,https://cdn2.thedogapi.com/images/S14n1x9NQ.jpg,US,,
30 - 60,14 - 27,17 - 21,43 - 53,15,American Pit Bull Terrier,Fighting,Terrier,10 - 15 years,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",,HkC31gcNm,HkC31gcNm,300,244,https://cdn2.thedogapi.com/images/HkC31gcNm.png,US,,
50 - 60,23 - 27,17 - 19,43 - 48,16,American Staffordshire Terrier,,Terrier,12 - 15 years,"Tenacious, Friendly, Devoted, Loyal, Attentive, Courageous",,rJIakgc4m,rJIakgc4m,357,500,https://cdn2.thedogapi.com/images/rJIakgc4m.jpg,US,,
25 - 45,11 - 20,15 - 18,38 - 46,17,American Water Spaniel,Bird flushing and retrieving,Sporting,10 - 12 years,"Friendly, Energetic, Obedient, Intelligent, Protective, Trainable",,SkmRJl9VQ,SkmRJl9VQ,1600,1264,https://cdn2.thedogapi.com/images/SkmRJl9VQ.jpg,US,,
80 - 150,36 - 68,27 - 29,69 - 74,18,Anatolian Shepherd Dog,Livestock herding,Working,11 - 13 years,"Steady, Bold, Independent, Confident, Intelligent, Proud",,BJT0Jx5Nm,BJT0Jx5Nm,1216,1131,https://cdn2.thedogapi.com/images/BJT0Jx5Nm.jpg,,,
48 - 55,22 - 25,20 - 22,51 - 56,19,Appenzeller Sennenhund,"Herding livestock, pulling carts, and guarding the farm",,12 – 14 years,"Reliable, Fearless, Energetic, Lively, Self-assured",,HkNkxlqEX,HkNkxlqEX,400,600,https://cdn2.thedogapi.com/images/HkNkxlqEX.jpg,,,
44 - 62,20 - 28,17 - 20,43 - 51,21,Australian Cattle Dog,"Cattle herding, herding trials",Herding,12 - 14 years,"Cautious, Energetic, Loyal, Obedient, Protective, Brave",,IBkYVm4v1,IBkYVm4v1,736,850,https://cdn2.thedogapi.com/images/IBkYVm4v1.jpg,AU,,
31 - 46,14 - 21,17 - 20,43 - 51,22,Australian Kelpie,"Farm dog, Cattle herding",Herding,10 - 13 years,"Friendly, Energetic, Alert, Loyal, Intelligent, Eager",,Hyq1ge9VQ,Hyq1ge9VQ,800,533,https://cdn2.thedogapi.com/images/Hyq1ge9VQ.jpg,AU,,
35 - 65,16 - 29,18 - 23,46 - 58,23,Australian Shepherd,Sheep herding,Herding,12 - 16 years,"Good-natured, Affectionate, Intelligent, Active, Protective",,B1-llgq4m,B1-llgq4m,1200,733,https://cdn2.thedogapi.com/images/B1-llgq4m.jpg,AU,,
14 - 16,6 - 7,10 - 11,25 - 28,24,Australian Terrier,"Cattle herdering, hunting snakes and rodents",Terrier,15 years,"Spirited, Alert, Loyal, Companionable, Even Tempered, Courageous",,r1Ylge5Vm,r1Ylge5Vm,1081,720,https://cdn2.thedogapi.com/images/r1Ylge5Vm.jpg,AU,,
33 - 55,15 - 25,23 - 29,58 - 74,25,Azawakh,"Livestock guardian, hunting",Hound,10 - 13 years,"Aloof, Affectionate, Attentive, Rugged, Fierce, Refined",,SkvZgx94m,SkvZgx94m,1024,768,https://cdn2.thedogapi.com/images/SkvZgx94m.jpg,,,
40 - 65,18 - 29,20 - 26,51 - 66,26,Barbet,Hunting water game,,13 – 15 years,"Obedient, Companionable, Intelligent, Joyful",,HyWGexcVQ,HyWGexcVQ,853,1280,https://cdn2.thedogapi.com/images/HyWGexcVQ.jpg,,,
22 - 24,10 - 11,16 - 17,41 - 43,28,Basenji,Hunting,Hound,10 - 12 years,"Affectionate, Energetic, Alert, Curious, Playful, Intelligent",,H1dGlxqNQ,H1dGlxqNQ,740,493,https://cdn2.thedogapi.com/images/H1dGlxqNQ.jpg,,,
35 - 40,16 - 18,13 - 15,33 - 38,29,Basset Bleu de Gascogne,Hunting on foot.,Hound,10 - 14 years,"Affectionate, Lively, Agile, Curious, Happy, Active",,BkMQll94X,BkMQll94X,1280,853,https://cdn2.thedogapi.com/images/BkMQll94X.jpg,,,
50 - 65,23 - 29,14,36,30,Basset Hound,Hunting by scent,Hound,12 - 15 years,"Tenacious, Friendly, Affectionate, Devoted, Sweet-Tempered, Gentle",,Sy57xx9EX,Sy57xx9EX,1024,640,https://cdn2.thedogapi.com/images/Sy57xx9EX.jpg,,,
20 - 35,9 - 16,13 - 15,33 - 38,31,Beagle,"Rabbit, hare hunting",Hound,13 - 16 years,"Amiable, Even Tempered, Excitable, Determined, Gentle, Intelligent",,Syd4xxqEm,Syd4xxqEm,1000,667,https://cdn2.thedogapi.com/images/Syd4xxqEm.jpg,,,
45 - 55,20 - 25,20 - 22,51 - 56,32,Bearded Collie,Sheep herding,Herding,12 - 14 years,"Self-confidence, Hardy, Lively, Alert, Intelligent, Active",,A09F4c1qP,A09F4c1qP,733,733,https://cdn2.thedogapi.com/images/A09F4c1qP.jpg,,,
80 - 110,36 - 50,24 - 27.5,61 - 70,33,Beauceron,"Boar herding, hunting, guarding",Herding,10 - 12 years,"Fearless, Friendly, Intelligent, Protective, Calm",,HJQ8ge5V7,HJQ8ge5V7,720,563,https://cdn2.thedogapi.com/images/HJQ8ge5V7.jpg,,,
17 - 23,8 - 10,15 - 16,38 - 41,34,Bedlington Terrier,"Killing rat, badger, other vermin",Terrier,14 - 16 years,"Affectionate, Spirited, Intelligent, Good-tempered",,ByK8gx947,ByK8gx947,804,531,https://cdn2.thedogapi.com/images/ByK8gx947.jpg,,,
40 - 80,18 - 36,22 - 26,56 - 66,36,Belgian Malinois,Stock herding,Herding,12 - 14 years,"Watchful, Alert, Stubborn, Friendly, Confident, Hard-working, Active, Protective",,r1f_ll5VX,r1f_ll5VX,604,453,https://cdn2.thedogapi.com/images/r1f_ll5VX.jpg,,,
40 - 65,18 - 29,22 - 26,56 - 66,38,Belgian Tervuren,"Guarding, Drafting, Police work.",Herding,10 - 12 years,"Energetic, Alert, Loyal, Intelligent, Attentive, Protective",,B1KdxlcNX,B1KdxlcNX,645,380,https://cdn2.thedogapi.com/images/B1KdxlcNX.jpg,,,
65 - 120,29 - 54,23 - 27.5,58 - 70,41,Bernese Mountain Dog,Draft work,Working,7 - 10 years,"Affectionate, Loyal, Intelligent, Faithful",,S1fFlx5Em,S1fFlx5Em,640,427,https://cdn2.thedogapi.com/images/S1fFlx5Em.jpg,,,
