breeds/name,breeds/_links/type/href
Abyssinian,/v2/types/small-furry
Chinchilla,/v2/types/small-furry
Degu,/v2/types/small-furry
Dwarf Hamster,/v2/types/small-furry
Ferret,/v2/types/small-furry
Gerbil,/v2/types/small-furry
Guinea Pig,/v2/types/small-furry
Hamster,/v2/types/small-furry
Hedgehog,/v2/types/small-furry
Mouse,/v2/types/small-furry
Peruvian,/v2/types/small-furry
Prairie Dog,/v2/types/small-furry
Rat,/v2/types/small-furry
Rex,/v2/types/small-furry
Short-Haired,/v2/types/small-furry
Silkie / Sheltie,/v2/types/small-furry
Skunk,/v2/types/small-furry
Sugar Glider,/v2/types/small-furry
Teddy,/v2/types/small-furry
